nodeid,event,service,time
0,sent,/prefix/seq=63,3.150000000
0,received,/prefix/seq=56,3.178436172
0,sent,/prefix/seq=64,3.200000000
0,received,/prefix/seq=57,3.228790176
0,sent,/prefix/seq=65,3.250000000
0,received,/prefix/seq=59,3.287282214
0,sent,/prefix/seq=66,3.300000000
0,received,/prefix/seq=58,3.320728195
0,sent,/prefix/seq=67,3.350000000
0,received,/prefix/seq=60,3.379152174
0,sent,/prefix/seq=68,3.400000000
0,received,/prefix/seq=61,3.429126850
0,sent,/prefix/seq=69,3.450000000
0,received,/prefix/seq=63,3.487315569
0,sent,/prefix/seq=70,3.500000000
0,received,/prefix/seq=62,3.520665421
0,sent,/prefix/seq=71,3.550000000
0,received,/prefix/seq=64,3.578576040
0,sent,/prefix/seq=72,3.600000000
0,received,/prefix/seq=65,3.628409363
0,sent,/prefix/seq=73,3.650000000
0,received,/prefix/seq=67,3.687158607
0,sent,/prefix/seq=74,3.700000000
0,received,/prefix/seq=66,3.720400044
0,sent,/prefix/seq=75,3.750000000
0,received,/prefix/seq=68,3.778633160
0,sent,/prefix/seq=76,3.800000000
0,received,/prefix/seq=69,3.828751796
0,sent,/prefix/seq=77,3.850000000
0,received,/prefix/seq=71,3.887252888
0,sent,/prefix/seq=78,3.900000000
0,received,/prefix/seq=70,3.920628709
0,sent,/prefix/seq=79,3.950000000
0,received,/prefix/seq=72,3.978468332
0,sent,/prefix/seq=80,4.000000000
0,received,/prefix/seq=73,4.028624750
0,sent,/prefix/seq=81,4.050000000
0,received,/prefix/seq=75,4.087345681
0,sent,/prefix/seq=82,4.100000000
0,received,/prefix/seq=74,4.120341123
0,sent,/prefix/seq=83,4.150000000
0,received,/prefix/seq=76,4.178662634
0,sent,/prefix/seq=84,4.200000000
0,received,/prefix/seq=77,4.229137358
0,sent,/prefix/seq=85,4.250000000
0,received,/prefix/seq=79,4.286893372
0,sent,/prefix/seq=86,4.300000000
0,received,/prefix/seq=78,4.320749272
0,sent,/prefix/seq=87,4.350000000
0,received,/prefix/seq=80,4.378613780
0,sent,/prefix/seq=88,4.400000000
0,received,/prefix/seq=81,4.428790794
0,sent,/prefix/seq=89,4.450000000
0,received,/prefix/seq=83,4.487526980
0,sent,/prefix/seq=90,4.500000000
0,received,/prefix/seq=82,4.520436995
0,sent,/prefix/seq=91,4.550000000
0,received,/prefix/seq=84,4.578605511
0,sent,/prefix/seq=92,4.600000000
0,received,/prefix/seq=85,4.628908999
0,sent,/prefix/seq=93,4.650000000
0,received,/prefix/seq=87,4.686968350
0,sent,/prefix/seq=94,4.700000000
0,received,/prefix/seq=86,4.720243438
0,sent,/prefix/seq=95,4.750000000
0,received,/prefix/seq=88,4.778492508
0,sent,/prefix/seq=96,4.800000000
0,received,/prefix/seq=89,4.828431634
0,sent,/prefix/seq=97,4.850000000
0,received,/prefix/seq=91,4.886771349
0,sent,/prefix/seq=98,4.900000000
0,received,/prefix/seq=90,4.920843898
0,sent,/prefix/seq=99,4.950000000
0,received,/prefix/seq=92,4.979151817
0,sent,/prefix/seq=100,5.000000000
