nodeid,service,serviceCount,status,time
6,,20,Current Resource,0.020000000
7,,20,Current Resource,0.020000000
8,,5,Current Resource,0.020000000
6,/prefix/seq=0,19,Data Processing,0.030816000
6,0.208770,19,Computation time,0.030816000
6,,19,Current Resource,0.040000000
7,,20,Current Resource,0.040000000
8,,5,Current Resource,0.040000000
8,/prefix/seq=1,4,Data Processing,0.055816000
8,0.555924,4,Computation time,0.055816000
6,,19,Current Resource,0.060000000
7,,20,Current Resource,0.060000000
8,,4,Current Resource,0.060000000
6,,19,Current Resource,0.080000000
7,,20,Current Resource,0.080000000
8,,4,Current Resource,0.080000000
7,/prefix/seq=2,19,Data Processing,0.080816000
7,0.208617,19,Computation time,0.080816000
6,,19,Current Resource,0.100000000
7,,19,Current Resource,0.100000000
8,,4,Current Resource,0.100000000
8,/prefix/seq=3,3,Data Processing,0.105816000
8,0.666927,3,Computation time,0.105816000
6,,19,Current Resource,0.120000000
7,,19,Current Resource,0.120000000
8,,3,Current Resource,0.120000000
6,/prefix/seq=4,18,Data Processing,0.130816000
6,0.250821,18,Computation time,0.130816000
6,,18,Current Resource,0.140000000
7,,19,Current Resource,0.140000000
8,,3,Current Resource,0.140000000
8,/prefix/seq=5,2,Data Processing,0.155816000
8,0.777878,2,Computation time,0.155816000
6,,18,Current Resource,0.160000000
7,,19,Current Resource,0.160000000
8,,2,Current Resource,0.160000000
6,,18,Current Resource,0.180000000
7,,19,Current Resource,0.180000000
8,,2,Current Resource,0.180000000
7,/prefix/seq=6,18,Data Processing,0.180816000
7,0.250113,18,Computation time,0.180816000
6,,18,Current Resource,0.200000000
7,,18,Current Resource,0.200000000
8,,2,Current Resource,0.200000000
8,/prefix/seq=7,1,Data Processing,0.205816000
8,0.889256,1,Computation time,0.205816000
6,,18,Current Resource,0.220000000
7,,18,Current Resource,0.220000000
8,,1,Current Resource,0.220000000
6,/prefix/seq=8,17,Data Processing,0.230816000
6,0.292454,17,Computation time,0.230816000
6,/prefix/seq=0,18,Data Correction,0.239586498
6,,18,Current Resource,0.240000000
7,,18,Current Resource,0.240000000
8,,1,Current Resource,0.240000000
8,/prefix/seq=9,0,Data Processing,0.255816000
8,1.000163,0,Computation time,0.255816000
6,,18,Current Resource,0.260000000
7,,18,Current Resource,0.260000000
8,,0,Current Resource,0.260000000
6,,18,Current Resource,0.280000000
7,,18,Current Resource,0.280000000
8,,0,Current Resource,0.280000000
6,/prefix/seq=10,17,Data Processing,0.280816000
6,0.292265,17,Computation time,0.280816000
7,/prefix/seq=2,19,Data Correction,0.289433202
6,,17,Current Resource,0.300000000
7,,19,Current Resource,0.300000000
8,,0,Current Resource,0.300000000
7,/prefix/seq=11,18,Data Processing,0.305816000
7,0.250426,18,Computation time,0.305816000
6,,17,Current Resource,0.320000000
7,,18,Current Resource,0.320000000
8,,0,Current Resource,0.320000000
8,/prefix/seq=12,0,OVERLOADED,0.330816000
6,,17,Current Resource,0.340000000
7,,18,Current Resource,0.340000000
8,,0,Current Resource,0.340000000
7,/prefix/seq=13,17,Data Processing,0.355816000
7,0.292035,17,Computation time,0.355816000
6,,17,Current Resource,0.360000000
7,,17,Current Resource,0.360000000
8,,0,Current Resource,0.360000000
6,,17,Current Resource,0.380000000
7,,17,Current Resource,0.380000000
8,,0,Current Resource,0.380000000
6,/prefix/seq=14,16,Data Processing,0.380816000
6,0.333461,16,Computation time,0.380816000
6,/prefix/seq=4,17,Data Correction,0.381637080
6,,17,Current Resource,0.400000000
7,,17,Current Resource,0.400000000
8,,0,Current Resource,0.400000000
8,/prefix/seq=15,0,OVERLOADED,0.405816000
6,,17,Current Resource,0.420000000
7,,17,Current Resource,0.420000000
