nodeid,service,serviceCount,status,time
7,,18,Current Resource,0.860000000
8,,1,Current Resource,0.860000000
6,/prefix/seq=11,19,Data Correction,0.872908606
6,,19,Current Resource,0.880000000
7,,18,Current Resource,0.880000000
8,,1,Current Resource,0.880000000
6,/prefix/seq=17,18,Data Processing,0.880816000
6,0.250760,18,Computation time,0.880816000
6,,18,Current Resource,0.900000000
7,,18,Current Resource,0.900000000
8,,1,Current Resource,0.900000000
6,,18,Current Resource,0.920000000
7,,18,Current Resource,0.920000000
8,,1,Current Resource,0.920000000
6,/prefix/seq=18,17,Data Processing,0.930816000
6,0.292380,17,Computation time,0.930816000
7,/prefix/seq=13,19,Data Correction,0.930943479
6,,17,Current Resource,0.940000000
7,,19,Current Resource,0.940000000
8,,1,Current Resource,0.940000000
6,,17,Current Resource,0.960000000
7,,19,Current Resource,0.960000000
8,,1,Current Resource,0.960000000
6,,17,Current Resource,0.980000000
7,,19,Current Resource,0.980000000
8,,1,Current Resource,0.980000000
8,/prefix/seq=19,0,Data Processing,0.980816000
8,1.000538,0,Computation time,0.980816000
7,/prefix/seq=14,20,Data Correction,0.981291176
6,,17,Current Resource,1.000000000
7,,20,Current Resource,1.000000000
8,,0,Current Resource,1.000000000
6,,17,Current Resource,1.020000000
7,,20,Current Resource,1.020000000
8,,0,Current Resource,1.020000000
7,/prefix/seq=20,19,Data Processing,1.030816000
7,0.208746,19,Computation time,1.030816000
6,,17,Current Resource,1.040000000
7,,19,Current Resource,1.040000000
8,,0,Current Resource,1.040000000
8,/prefix/seq=5,1,Data Correction,1.058693822
6,,17,Current Resource,1.060000000
7,,19,Current Resource,1.060000000
8,,1,Current Resource,1.060000000
6,/prefix/seq=15,18,Data Correction,1.073290667
6,,18,Current Resource,1.080000000
7,,19,Current Resource,1.080000000
8,,1,Current Resource,1.080000000
7,/prefix/seq=21,18,Data Processing,1.080816000
7,0.250403,18,Computation time,1.080816000
6,,18,Current Resource,1.100000000
7,,18,Current Resource,1.100000000
8,,1,Current Resource,1.100000000
6,,18,Current Resource,1.120000000
7,,18,Current Resource,1.120000000
8,,1,Current Resource,1.120000000
8,/prefix/seq=22,0,Data Processing,1.130816000
8,1.000207,0,Computation time,1.130816000
6,/prefix/seq=17,19,Data Correction,1.131575521
6,,19,Current Resource,1.140000000
7,,18,Current Resource,1.140000000
8,,0,Current Resource,1.140000000
6,,19,Current Resource,1.160000000
7,,18,Current Resource,1.160000000
8,,0,Current Resource,1.160000000
6,,19,Current Resource,1.180000000
7,,18,Current Resource,1.180000000
8,,0,Current Resource,1.180000000
6,/prefix/seq=23,18,Data Processing,1.180816000
6,0.250828,18,Computation time,1.180816000
6,,18,Current Resource,1.200000000
7,,18,Current Resource,1.200000000
8,,0,Current Resource,1.200000000
6,,18,Current Resource,1.220000000
7,,18,Current Resource,1.220000000
8,,0,Current Resource,1.220000000
6,/prefix/seq=18,19,Data Correction,1.223196186
6,/prefix/seq=24,18,Data Processing,1.230816000
6,0.250503,18,Computation time,1.230816000
7,/prefix/seq=20,19,Data Correction,1.239562218
6,,18,Current Resource,1.240000000
7,,19,Current Resource,1.240000000
8,,0,Current Resource,1.240000000
6,,18,Current Resource,1.260000000
7,,19,Current Resource,1.260000000
8,,0,Current Resource,1.260000000
6,,18,Current Resource,1.280000000
7,,19,Current Resource,1.280000000
8,,0,Current Resource,1.280000000
7,/prefix/seq=25,18,Data Processing,1.280816000
7,0.250315,18,Computation time,1.280816000
6,,18,Current Resource,1.300000000
7,,18,Current Resource,1.300000000
8,,0,Current Resource,1.300000000
6,,18,Current Resource,1.320000000
7,,18,Current Resource,1.320000000
8,,0,Current Resource,1.320000000
6,/prefix/seq=26,17,Data Processing,1.330816000
6,0.292012,17,Computation time,1.330816000
7,/prefix/seq=21,19,Data Correction,1.331219444
6,,17,Current Resource,1.340000000
7,,19,Current Resource,1.340000000
8,,0,Current Resource,1.340000000
6,,17,Current Resource,1.360000000
7,,19,Current Resource,1.360000000
8,,0,Current Resource,1.360000000
8,/prefix/seq=9,1,Data Correction,1.369867488
6,,17,Current Resource,1.380000000
7,,19,Current Resource,1.380000000
8,,1,Current Resource,1.380000000
7,/prefix/seq=27,18,Data Processing,1.380816000
7,0.250572,18,Computation time,1.380816000
6,,17,Current Resource,1.400000000
7,,18,Current Resource,1.400000000
8,,1,Current Resource,1.400000000
6,,17,Current Resource,1.420000000
7,,18,Current Resource,1.420000000
8,,1,Current Resource,1.420000000
8,/prefix/seq=28,0,Data Processing,1.430816000
8,1.000613,0,Computation time,1.430816000
6,/prefix/seq=23,18,Data Correction,1.431644381
6,,18,Current Resource,1.440000000
7,,18,Current Resource,1.440000000
8,,0,Current Resource,1.440000000
6,,18,Current Resource,1.460000000
7,,18,Current Resource,1.460000000
8,,0,Current Resource,1.460000000
6,,18,Current Resource,1.480000000
7,,18,Current Resource,1.480000000
8,,0,Current Resource,1.480000000
6,/prefix/seq=29,17,Data Processing,1.480816000
6,0.292129,17,Computation time,1.480816000
6,/prefix/seq=24,18,Data Correction,1.481319259
6,,18,Current Resource,1.500000000
7,,18,Current Resource,1.500000000
8,,0,Current Resource,1.500000000
6,,18,Current Resource,1.520000000
7,,18,Current Resource,1.520000000
8,,0,Current Resource,1.520000000
6,/prefix/seq=30,17,Data Processing,1.530816000
6,0.291832,17,Computation time,1.530816000
7,/prefix/seq=25,19,Data Correction,1.531130788
